,Number of measured individuals,Type,Cost in sec
0,24,NLME,0.0016416200000000103
1,48,NLME,0.0030326600000001314
2,72,NLME,0.004535793000000066
3,96,NLME,0.005890375000000336
4,120,NLME,0.0073280460000000325
5,144,NLME,0.008706604999999978
0,24,Filter 50,0.0007560989999999546
1,48,Filter 50,0.0007419979999998549
2,72,Filter 50,0.0007424570000003072
3,96,Filter 50,0.0007414740000002418
4,120,Filter 50,0.0007385059999998056
5,144,Filter 50,0.0007466219999998636
0,24,Filter 100,0.0012182229999999628
1,48,Filter 100,0.0012477289999999197
2,72,Filter 100,0.0012223150000001404
3,96,Filter 100,0.001224307000000202
4,120,Filter 100,0.0012171480000002788
5,144,Filter 100,0.0012333779999997851
0,24,Filter 150,0.001668538999999969
1,48,Filter 150,0.0016625869999999932
2,72,Filter 150,0.0016591130000001009
3,96,Filter 150,0.0016598549999997658
4,120,Filter 150,0.0016697069999995762
5,144,Filter 150,0.0016700929999999836
