"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,8,3.75000000000000000e-01,2,88.5548262540251
1,9,2.50000000000000000e-01,1,88.60687950626016
2,10,2.50000000000000000e-01,1,88.60909210238606
3,11,2.50000000000000000e-01,1,88.61134434584528
20,10143,7.78964445691635365e-01,563,628.4748261189088
40,22986,7.57317764043784925e-01,612,1311.3749532159418
60,37842,7.50641429889655987e-01,708,2104.1413139579818
80,51654,7.65286735195969681e-01,658,2838.110764679499
100,63768,7.05484819151697362e-01,577,3487.3819384621456
120,69013,7.55110425466520852e-01,250,3766.519636088051
140,72697,7.67542802505855382e-01,176,3962.514965363778
160,76799,6.84628557673664595e-01,196,4181.40861774981
180,82169,7.36942118910652089e-01,256,4468.397037295625
200,87289,7.52888367084387333e-01,244,4742.430339423008
220,92013,7.52273774879616997e-01,225,4994.174160987139
240,95783,7.53056567862587789e-01,180,5195.051406752318
260,98748,7.46502222924207204e-01,141,5353.579438889399
280,103874,7.42088160602153102e-01,245,5627.059156031348
300,107296,7.56865853274185874e-01,163,5809.474736698903
320,111123,7.54461898981415913e-01,183,6013.599880240858
340,114716,7.53821397365003976e-01,172,6205.231530385092
360,118550,7.55250197629586340e-01,183,6409.3471869966015
380,123010,7.66634277940808739e-01,213,6646.664994070306
400,125721,7.52198238668399299e-01,130,6791.458881364204
420,128661,7.45435034373909233e-01,140,6948.304735502228
440,132102,7.71967657920213490e-01,164,7131.639504398219
460,134874,7.30566657559890698e-01,132,7279.28351170104
480,140341,7.48599769487060529e-01,261,7569.794789283536
500,144057,7.74335151160429835e-01,177,7767.66963367071
520,149029,8.88632462003179469e-01,237,8031.890410833992
540,153489,7.28229170542885607e-01,213,8268.57397497166
560,158205,8.47581529908195574e-01,225,8519.244890032336
580,163177,8.82388206263372110e-01,237,8783.576034010388
600,168277,8.59540028337738460e-01,243,9055.034907255322
620,172481,8.92606047155233506e-01,201,9279.233894576319
640,177581,8.89625130572319400e-01,243,9551.003455664031
660,182425,8.62809070582912008e-01,231,9809.186427172273
680,187269,8.76651289486700014e-01,231,10067.03706949111
700,191985,8.96568343755411945e-01,225,10318.03709360119
720,196957,8.71268160599420916e-01,237,10583.149709180929
740,201929,8.76956924411365857e-01,237,10848.132940035313
760,207029,8.69542700303409410e-01,243,11119.566857237369
780,212129,8.35066116239266409e-01,243,11391.303131119348
800,216973,8.52138243060870715e-01,231,11649.442244613543
820,221944,8.91149960197375135e-01,237,11913.749736379832
840,227006,8.73532923566061381e-01,242,12182.482082623057
860,232106,7.91489985553358366e-01,243,12454.134800369851
880,237206,8.21000461372342505e-01,243,12727.299567107111
900,242050,8.59775793371633235e-01,231,12987.014763402753
920,246894,8.80655436360510468e-01,231,13246.966186575592
940,251738,8.35934311062328184e-01,231,13506.680364073254
960,256710,8.55604705566815782e-01,237,13772.687228468247
980,261426,8.31889440974562300e-01,225,14025.373501304537
1000,266526,8.66123970951940270e-01,243,14298.8941734666
1020,271370,8.89676490297906630e-01,231,14558.412655930966
1040,276214,8.91954002306891258e-01,231,14818.188929192722
1060,281058,8.54580751749756562e-01,231,15077.84103338886
1080,285646,8.52135634585176494e-01,219,15323.778664249927
1100,290490,8.89406174966257401e-01,231,15582.889078763314
1120,295590,8.75970158950686972e-01,243,15856.606822542846
1140,300178,8.32862173514242521e-01,219,16103.127389878966
1160,305278,8.40246800146465356e-01,243,16376.548022594303
1180,310378,8.55549659758888525e-01,243,16650.129877085797
1200,315222,8.80403139608060603e-01,231,16909.831971813925
1220,320194,8.89023988300473689e-01,237,17176.297575908713
1240,325294,8.84039663840741063e-01,243,17450.073895665817
1260,330266,8.70977113674089809e-01,237,17716.719449157827
1280,335238,8.66759965200888383e-01,237,17983.389393288642
1300,340082,8.47010639337278604e-01,231,18243.288687376305
1320,344926,8.40791750561358575e-01,231,18502.977655435912
1340,349898,8.79823976061564150e-01,237,18769.874278810807
1360,354870,9.01105952347332151e-01,237,19036.989607802592
1380,359842,8.95505930724485366e-01,237,19303.874895158224
1400,364686,8.30223859681532117e-01,231,19563.67395715695
1420,369658,9.02594810834453476e-01,237,19830.407112536952
1440,374630,8.44544166313815237e-01,237,20096.764024202712
1460,379474,8.72096638579933137e-01,231,20356.334191983566
1480,384446,8.32087706810132000e-01,237,20622.97802260425
1500,389163,8.80061087706351719e-01,236,20875.88393340353
