"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,27,3.45775375243839445e-01,2,2.33336079863322082e-01,2,1.66960311411548962e-01,3,0.1347212670000002
1,30,,,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.1490258630000003
2,36,1.25000000000000000e-01,2,,,3.33333333333333315e-01,1,0.1806626640000002
3,219,2.95401917406190206e-01,6,1.14430740397052116e-01,32,1.25000000000000000e-01,2,1.1714574190000002
20,19179,7.84165342426607626e-01,354,7.94929159798546392e-01,218,7.83338264231873693e-01,150,106.112739184
40,29730,7.38577557498413584e-01,168,7.37985015985725856e-01,131,7.49904448386969569e-01,124,167.34795626300001
60,40536,7.54314472935694091e-01,172,7.80761682594536044e-01,146,7.70770081475728897e-01,140,227.834994521
80,49116,7.68230249841157953e-01,137,7.44957218569755941e-01,83,7.70789051108728640e-01,25,274.90062294
100,57018,7.51050664829196024e-01,126,7.81757032501067761e-01,26,7.80399691547804419e-01,22,318.369896063
120,58014,7.18824131801085731e-01,16,7.71389409741490173e-01,21,7.53979886519600351e-01,20,323.887552741
140,59130,7.38873190360925358e-01,18,7.01066533917377943e-01,16,7.52989064286591625e-01,16,330.038756742
160,60150,7.12990457197198668e-01,16,7.65442133220159082e-01,29,7.61309538854014867e-01,16,335.631114232
180,61122,7.44171287081780486e-01,16,7.52721666928450550e-01,17,7.45652765860384981e-01,17,341.068539437
200,62175,7.75736879761421583e-01,17,7.48682728456234403e-01,16,7.82875490695479348e-01,18,346.943373012
220,63363,7.44437109151931731e-01,19,7.51478188984511575e-01,21,7.18889577908421340e-01,16,353.490182813
240,64791,7.72574596188163376e-01,23,7.73220440837401379e-01,19,8.00105221301506186e-01,34,361.400547566
260,65841,6.75750583264194460e-01,17,7.48597114359642601e-01,18,7.36216468049272765e-01,20,367.127544166
280,66981,7.40597182696013823e-01,19,7.56837831130177774e-01,16,7.31141275455829853e-01,16,373.465623404
300,68433,7.67359813596215523e-01,24,7.64133275783035582e-01,18,8.64655380495640058e-01,15,381.495719909
320,69813,7.56903961438159967e-01,22,7.80791637104400582e-01,16,8.32453477388159890e-01,15,389.140785859
340,70929,7.56044129007611754e-01,18,7.17882969815653804e-01,19,8.36158235599073763e-01,15,395.307673563
360,72021,7.57335815556307579e-01,18,7.52095601251482559e-01,18,8.46512382666369967e-01,15,401.351519097
380,73113,7.74236322885386685e-01,18,7.83640188776355884e-01,19,8.06119722421800966e-01,15,407.351931713
400,73947,7.55491609603748615e-01,14,7.90374966113132849e-01,15,8.03012561523751112e-01,15,411.954842357
420,75165,7.42659169316109313e-01,20,8.29139479860462880e-01,15,8.23828548522040571e-01,15,418.457652775
440,76089,7.45020966582794153e-01,15,8.41360742403322148e-01,15,8.35868061008674501e-01,15,423.519916723
460,77217,7.43750985841717616e-01,18,8.07486832875496718e-01,15,8.59190676578452939e-01,15,429.963304149
480,78525,7.62082638268987589e-01,21,8.43580197614191785e-01,15,8.19604562203996800e-01,15,437.106803836
500,79527,7.66397877035826514e-01,16,8.13767733868275389e-01,15,8.43412112577044404e-01,15,442.49360054
520,80427,8.28979915209005602e-01,15,8.66678066326485586e-01,15,7.80388315866760829e-01,15,447.339856079
540,81327,7.66659141887878426e-01,15,8.41356830192562910e-01,15,7.72823272898048863e-01,14,452.184434485
560,82227,7.67101548579026904e-01,15,8.46320803448846082e-01,15,7.60304488664351741e-01,14,457.130238926
580,83127,6.92228823309468888e-01,15,7.73829768731620682e-01,15,8.11463430758288862e-01,15,462.683170256
600,84000,7.41729184138369968e-01,14,7.84947659005026388e-01,15,7.96959009360199699e-01,15,467.670357628
620,84900,7.96396358165023965e-01,15,8.67912928451444077e-01,15,8.21795184132821155e-01,15,472.856328194
640,85794,7.20110573215513750e-01,15,7.97110650249207797e-01,15,8.31422467861508308e-01,15,477.683703589
660,86694,7.46288444416849606e-01,15,7.96783025739686734e-01,15,7.08870724206139280e-01,15,482.695357826
680,87594,7.57160149732020060e-01,15,8.27375713477390029e-01,15,7.84078142855233806e-01,15,487.83447208
700,88494,7.61043837049501737e-01,15,8.15380126671992778e-01,15,8.36885861022016786e-01,15,493.023842651
720,89226,8.17421572705095190e-01,15,8.37700601252746480e-01,15,8.12036060299190843e-01,14,497.237490571
740,89826,8.32435645620983267e-01,15,8.05744921392982372e-01,15,,,500.70926327
760,90426,7.01642537984786263e-01,15,7.76540401939199820e-01,15,,,504.18661735
780,91026,7.76750363604462479e-01,15,8.31740605665618360e-01,15,,,507.708123994
800,91626,8.16739816489246762e-01,15,8.58710574688795414e-01,15,,,511.23150623500004
820,92226,7.91284853896354057e-01,15,7.85443625155309411e-01,15,,,514.595514444
840,92826,7.55017739234311924e-01,15,8.19261053631895497e-01,15,,,517.8841046279999
860,93285,7.61730886006038554e-01,15,7.69014946017799961e-01,14,,,520.3688149599999
880,93585,8.05750620615447999e-01,15,,,,,521.9842698829999
900,93885,7.65393574885346428e-01,15,,,,,523.5937427629999
920,94185,7.85368938987876630e-01,15,,,,,525.219286123
940,94485,7.82785745930352217e-01,15,,,,,526.8488087439999
960,94785,7.56691882513444436e-01,15,,,,,528.559213271
980,95084,8.18435647961460511e-01,15,,,,,531.1845550989999
1000,95369,8.02116584917457187e-01,15,,,,,532.709564766
